## AeroDB
## Cart3D Solutions for the LGBB Geometry
##
## NASA Advanced Supercomputing - Applications Branch
## NASA Ames Research Center
## Mail Stop T27B-1
## Moffett Field, CA  94035-1000
##
## POC: Neal M. Chaderjian (nchaderjian@mail.arc.nasa.gov)
## Stuart E. Rogers (rogers@nas.nasa.gov)
## 
## mach = Mach Number
## alpha = Angle of attack
## beta = Side-slip angle
## lift = Lift Coefficient
## drag = Drag Coefficient
## pitch = Pitching Moment Coefficient
## side = Side-Force Coefficient
## yaw = Yawing Moment Coefficient
## roll = Rolling Moment Coefficient
##              
mach alpha beta lift  drag  pitch  side  yaw  roll
0.40 10 0.0 0.623610 0.106420 -0.041890 0.001380 -0.000530 0.000140
0.40 12 0.0 0.723490 0.136040 -0.043360 0.001510 -0.000610 0.000130
0.40 15 0.0 0.869840 0.190460 -0.046440 0.001590 -0.000500 0.000130
0.40 16 0.0 0.919280 0.211720 -0.046990 0.001050 -0.000530 0.000110
0.40 17 0.0 0.964210 0.233430 -0.048800 0.001460 -0.000510 0.000100
0.40 18 0.0 1.008850 0.257200 -0.050620 0.001150 -0.000580 0.000060
0.40 19 0.0 1.054420 0.283710 -0.053140 0.001240 -0.000510 0.000210
0.40 20 0.0 1.097880 0.311910 -0.055770 0.001160 -0.000580 0.000040
0.40 21 0.0 1.138940 0.342480 -0.058100 0.000670 -0.000600 0.000080
0.40 22 0.0 1.177840 0.376300 -0.061020 0.000450 -0.000360 0.000090
0.40 23 0.0 1.214810 0.412270 -0.063670 0.000780 -0.000450 0.000200
0.40 24 0.0 1.248500 0.449470 -0.064640 -0.000120 -0.000560 0.000070
0.40 25 0.0 1.273240 0.485320 -0.063230 -0.000440 -0.000600 0.000050
0.40 26 0.0 1.297210 0.523590 -0.062780 0.000310 -0.000610 0.000210
0.40 27 0.0 1.315730 0.562680 -0.061900 -0.000460 -0.000620 0.000240
0.40 28 0.0 1.333100 0.604330 -0.060980 0.000600 -0.000170 0.000250
0.40 29 0.0 1.346020 0.642100 -0.059040 0.001140 -0.000260 0.000010
0.40 30 0.0 1.352480 0.678750 -0.057230 0.002620 -0.000210 0.000220
0.60 -5 0.0 -0.110960 0.015370 -0.026980 0.001420 -0.000300 0.000120
0.60 -2 0.0 0.040680 0.024250 -0.031360 0.001090 -0.000390 0.000130
0.60 0 0.0 0.133670 0.025830 -0.032770 0.000880 -0.000510 0.000130
0.60 1 0.0 0.182740 0.027830 -0.034110 0.000950 -0.000370 0.000120
0.60 2 0.0 0.233160 0.031110 -0.035250 0.000870 -0.000430 0.000120
0.60 5 0.0 0.386570 0.049200 -0.038680 0.001050 -0.000420 0.000110
0.60 8 0.0 0.546570 0.078680 -0.042220 0.001080 -0.000310 0.000110
0.60 10 0.0 0.653750 0.104740 -0.045380 0.000840 -0.000440 0.000110
0.60 12 0.0 0.762550 0.136970 -0.048810 0.001010 -0.000410 0.000100
0.60 15 0.0 0.924040 0.200960 -0.056120 0.001020 -0.000500 0.000110
0.60 16 0.0 0.977170 0.228360 -0.059940 0.001360 -0.000360 0.000090
0.60 17 0.0 1.021130 0.258390 -0.064820 0.001190 -0.000320 0.000120
0.60 18 0.0 1.062530 0.290700 -0.068430 0.000850 -0.000490 0.000130
0.60 19 0.0 1.095440 0.322120 -0.070610 0.000840 -0.000400 0.000130
0.60 20 0.0 1.122070 0.353810 -0.070150 0.000620 -0.000330 0.000190
0.60 21 0.0 1.150530 0.387370 -0.068710 0.001140 -0.000510 0.000170
0.60 22 0.0 1.163920 0.422390 -0.068010 0.000800 -0.000520 0.000080
0.60 23 0.0 1.170650 0.456440 -0.066740 0.000280 -0.000550 0.000070
0.60 24 0.0 1.172080 0.486530 -0.062050 0.000920 -0.000470 -0.000010
0.60 25 0.0 1.203200 0.522680 -0.061750 0.000760 -0.000410 0.000100
0.60 26 0.0 1.205870 0.555050 -0.058750 0.001100 -0.000660 -0.000070
0.60 27 0.0 1.212870 0.591400 -0.056520 0.002500 -0.000770 -0.000200
0.60 28 0.0 1.213390 0.624560 -0.053730 0.002540 -0.000730 -0.000080
0.60 29 0.0 1.213230 0.655660 -0.048850 0.002600 -0.000950 -0.000070
0.60 30 0.0 1.213860 0.684620 -0.043010 0.003310 -0.000800 -0.000100
0.80 -5 0.0 -0.124230 0.030080 -0.028960 0.000850 -0.000460 0.000120
0.80 -2 0.0 0.034680 0.022460 -0.032810 0.000950 -0.000420 0.000120
0.80 0 0.0 0.137740 0.013990 -0.035120 0.000980 -0.000330 0.000130
0.80 1 0.0 0.184890 0.029710 -0.035370 0.000890 -0.000380 0.000110
0.80 2 0.0 0.245910 0.022320 -0.038060 0.000790 -0.000380 0.000110
0.80 5 0.0 0.417200 0.044180 -0.043200 0.000870 -0.000360 0.000110
0.80 8 0.0 0.601120 0.090130 -0.050390 0.001100 -0.000370 0.000120
0.80 10 0.0 0.732390 0.120630 -0.055700 0.000790 -0.000360 0.000130
0.80 12 0.0 0.847540 0.173390 -0.068800 0.000960 -0.000290 0.000180
0.80 15 0.0 0.980800 0.251280 -0.076710 0.001350 -0.000350 0.000180
0.80 16 0.0 1.012500 0.277010 -0.076540 0.001410 -0.000380 0.000190
0.80 17 0.0 1.026350 0.301120 -0.075070 0.001690 -0.000220 0.000150
0.80 18 0.0 1.055040 0.331860 -0.074090 0.001230 -0.000530 0.000070
0.80 19 0.0 1.064600 0.358350 -0.070720 0.001540 -0.000560 -0.000050
0.80 20 0.0 1.067350 0.385140 -0.065450 0.001230 -0.000540 0.000020
0.80 21 0.0 1.067730 0.412190 -0.059890 0.000710 -0.000660 0.000180
0.80 22 0.0 1.059150 0.436260 -0.051840 0.000810 -0.000520 0.000210
0.80 23 0.0 1.059970 0.463920 -0.047040 0.000430 -0.000530 0.000130
0.80 24 0.0 1.069770 0.494130 -0.045480 0.001310 -0.000540 0.000210
0.80 25 0.0 1.083620 0.523780 -0.043740 0.001950 -0.000700 0.000140
0.80 26 0.0 1.104040 0.557900 -0.042000 0.001890 -0.000620 0.000090
0.80 27 0.0 1.122110 0.593700 -0.037570 0.001660 -0.000980 0.000120
0.80 28 0.0 1.134600 0.628260 -0.031520 0.002420 -0.000980 0.000010
0.80 29 0.0 1.144620 0.660810 -0.025220 -0.000550 -0.000860 0.000210
0.80 30 0.0 1.162390 0.697830 -0.019160 -0.001320 -0.000240 0.000270
0.85 -5 0.0 -0.130410 0.026730 -0.030850 0.000920 -0.000380 0.000130
0.85 -2 0.0 0.035000 0.023560 -0.034560 0.000920 -0.000370 0.000110
0.85 0 0.0 0.144090 0.025130 -0.037600 0.000970 -0.000370 0.000110
0.85 1 0.0 0.200340 0.028750 -0.039210 0.001050 -0.000320 0.000110
0.85 2 0.0 0.257730 0.033680 -0.041230 0.000840 -0.000450 0.000100
0.85 5 0.0 0.443710 0.058210 -0.049550 0.000910 -0.000350 0.000090
0.85 8 0.0 0.653940 0.099720 -0.061780 0.000600 -0.000310 0.000140
0.85 10 0.0 0.789300 0.144640 -0.069150 0.000850 -0.000330 0.000110
0.85 12 0.0 0.904750 0.199640 -0.074690 0.000540 -0.000280 0.000220
0.85 15 0.0 1.012010 0.272250 -0.079030 0.000680 -0.000250 0.000170
0.85 16 0.0 1.033870 0.295240 -0.076220 0.001020 -0.000290 0.000190
0.85 17 0.0 1.036340 0.315930 -0.072160 0.001010 -0.000430 0.000180
0.85 18 0.0 1.041810 0.339620 -0.069360 0.001510 -0.000480 0.000090
0.85 19 0.0 1.050440 0.365050 -0.066710 0.001380 -0.000340 0.000070
0.85 20 0.0 1.065320 0.393320 -0.064520 0.001320 -0.000240 0.000090
0.85 21 0.0 1.082140 0.424400 -0.062840 0.000990 -0.000560 0.000050
0.85 22 0.0 1.093400 0.455010 -0.059590 0.001480 -0.000470 0.000030
0.85 23 0.0 1.099980 0.486520 -0.056010 0.001010 -0.000670 0.000040
0.85 24 0.0 1.103830 0.518960 -0.052550 0.001330 -0.000580 -0.000020
0.85 25 0.0 1.108960 0.546250 -0.047630 0.001770 -0.000650 0.000020
0.85 26 0.0 1.122780 0.576890 -0.042160 0.001490 -0.000700 0.000010
0.85 27 0.0 1.136890 0.610400 -0.037330 0.002090 -0.000380 0.000050
0.85 28 0.0 1.147860 0.647120 -0.033110 0.001960 -0.000610 -0.000050
0.85 29 0.0 1.163130 0.686120 -0.029910 -0.000350 -0.000330 0.000070
0.85 30 0.0 1.179090 0.723300 -0.025070 -0.001600 -0.000310 0.000130
0.90 -5 0.0 -0.159470 0.044020 -0.027700 0.000980 -0.000340 0.000100
0.90 -2 0.0 0.019470 0.035250 -0.034030 0.001050 -0.000300 0.000110
0.90 0 0.0 0.134160 0.035460 -0.037770 0.000800 -0.000350 0.000130
0.90 1 0.0 0.193970 0.039830 -0.040340 0.000890 -0.000300 0.000120
0.90 2 0.0 0.254910 0.045680 -0.043000 0.000760 -0.000380 0.000110
0.90 5 0.0 0.451200 0.073330 -0.054180 0.000730 -0.000340 0.000100
0.90 8 0.0 0.650670 0.127830 -0.064360 0.000630 -0.000370 0.000120
0.90 10 0.0 0.775890 0.171120 -0.068790 0.000800 -0.000280 0.000130
0.90 12 0.0 0.892250 0.220430 -0.072550 0.000800 -0.000340 0.000200
0.90 15 0.0 1.034660 0.300170 -0.073510 0.000810 -0.000310 0.000150
0.90 16 0.0 1.076500 0.330360 -0.073420 0.000680 -0.000350 0.000290
0.90 17 0.0 1.097140 0.356060 -0.069560 0.000690 -0.000330 0.000290
0.90 18 0.0 1.123780 0.384470 -0.069600 0.000920 -0.000390 0.000270
0.90 19 0.0 1.114690 0.402700 -0.066270 0.001880 -0.000200 0.000230
0.90 20 0.0 1.142720 0.434140 -0.067040 0.000670 -0.000170 0.000250
0.90 21 0.0 1.136520 0.458140 -0.062730 0.000150 -0.000010 0.000230
0.90 22 0.0 1.132450 0.488250 -0.059380 0.001180 -0.000340 0.000150
0.90 23 0.0 1.150410 0.522460 -0.057900 0.000250 -0.000320 0.000000
0.90 24 0.0 1.165430 0.552310 -0.060230 0.000780 -0.000300 0.000030
0.90 25 0.0 1.238910 0.610010 -0.061090 0.000560 -0.000370 0.000120
0.90 26 0.0 1.187070 0.619410 -0.054600 0.001660 -0.000780 -0.000110
0.90 27 0.0 1.196300 0.650910 -0.049480 0.001940 -0.000730 -0.000080
0.90 28 0.0 1.212970 0.685820 -0.043710 0.002440 -0.000370 -0.000190
0.90 29 0.0 1.228900 0.724770 -0.038010 0.002500 -0.000870 -0.000290
0.90 30 0.0 1.243610 0.763570 -0.034640 0.002020 -0.000560 -0.000140
0.95 -5 0.0 -0.276750 0.078220 0.004930 0.000820 -0.000280 0.000060
0.95 -2 0.0 -0.057260 0.061250 -0.016310 0.000690 -0.000340 0.000090
0.95 0 0.0 0.076240 0.051570 -0.027000 0.000830 -0.000270 0.000100
0.95 1 0.0 0.143180 0.053990 -0.032120 0.000630 -0.000320 0.000110
0.95 2 0.0 0.211740 0.059400 -0.037670 0.000810 -0.000280 0.000120
0.95 5 0.0 0.421400 0.090960 -0.054930 0.000650 -0.000260 0.000110
0.95 8 0.0 0.628960 0.144250 -0.070080 0.000580 -0.000300 0.000180
0.95 10 0.0 0.762530 0.191120 -0.078790 0.000630 -0.000240 0.000180
0.95 12 0.0 0.889980 0.244560 -0.086040 0.000350 -0.000320 0.000050
0.95 15 0.0 1.061440 0.339610 -0.092070 0.000530 -0.000260 0.000160
0.95 16 0.0 1.114010 0.373600 -0.093420 0.000600 -0.000270 0.000160
0.95 17 0.0 1.157490 0.407330 -0.092340 0.000500 -0.000300 0.000210
0.95 18 0.0 1.199770 0.441060 -0.091440 0.000340 -0.000310 0.000200
0.95 19 0.0 1.239060 0.475760 -0.090080 0.000390 -0.000350 0.000420
0.95 20 0.0 1.277250 0.512520 -0.089170 0.000390 -0.000230 0.000440
0.95 21 0.0 1.309410 0.549880 -0.087300 0.000180 -0.000210 0.000560
0.95 22 0.0 1.335520 0.586410 -0.084980 -0.000440 0.000110 0.000610
0.95 23 0.0 1.360070 0.623820 -0.081080 -0.001110 0.000250 0.000420
0.95 24 0.0 1.377550 0.658700 -0.082040 0.000120 0.000630 0.000500
0.95 25 0.0 1.368840 0.686370 -0.092670 -0.001380 0.000140 0.000470
0.95 26 0.0 1.370080 0.719260 -0.092930 -0.000950 -0.000100 0.000360
0.95 27 0.0 1.369170 0.752760 -0.088820 -0.000420 -0.000070 0.000430
0.95 28 0.0 1.374600 0.787340 -0.082580 -0.000080 -0.000160 0.000250
0.95 29 0.0 1.379030 0.820760 -0.075660 0.000500 -0.000520 0.000030
0.95 30 0.0 1.390280 0.859910 -0.073850 -0.000830 -0.000710 -0.000410
0.98 -5 0.0 -0.281440 0.091910 0.009060 0.000390 -0.000190 0.000020
0.98 -3 0.0 -0.144960 0.075690 -0.002780 0.000380 -0.000240 0.000040
0.98 -2 0.0 -0.077760 0.070550 -0.008610 0.000450 -0.000200 0.000040
0.98 0 0.0 0.055530 0.068470 -0.020230 0.000520 -0.000170 0.000060
0.98 1 0.0 0.123130 0.071480 -0.026280 0.000310 -0.000230 0.000060
0.98 2 0.0 0.191560 0.076070 -0.032340 0.000340 -0.000210 0.000070
0.98 3 0.0 0.260550 0.083820 -0.038530 0.000360 -0.000210 0.000050
0.98 4 0.0 0.329120 0.093880 -0.044550 0.000470 -0.000160 0.000080
0.98 5 0.0 0.397870 0.107010 -0.050180 0.000320 -0.000170 0.000040
0.98 5 0.0 0.397940 0.107090 -0.050280 0.000310 -0.000160 0.000060
0.98 6 0.0 0.467000 0.121640 -0.056080 0.000280 -0.000210 0.000070
0.98 8 0.0 0.605800 0.159870 -0.067500 0.000230 -0.000150 0.000060
0.98 9 0.0 0.674130 0.181470 -0.072680 0.000210 -0.000170 0.000080
0.98 10 0.0 0.739940 0.204870 -0.077250 0.000210 -0.000150 0.000120
0.98 11 0.0 0.805950 0.230750 -0.081850 0.000240 -0.000100 0.000080
0.98 12 0.0 0.869980 0.256990 -0.086120 0.000290 -0.000070 0.000070
0.98 13 0.0 0.932520 0.286770 -0.089580 0.000020 -0.000140 0.000080
0.98 14 0.0 0.991810 0.318290 -0.092650 0.000220 -0.000130 0.000080
0.98 15 0.0 1.048090 0.353520 -0.095140 0.000210 -0.000090 0.000080
0.98 16 0.0 1.101630 0.388100 -0.097570 -0.000100 -0.000180 0.000090
0.98 17 0.0 1.152920 0.424130 -0.098980 0.000430 -0.000020 0.000090
0.98 18 0.0 1.199990 0.460850 -0.099730 0.000310 -0.000110 0.000150
0.98 19 0.0 1.244280 0.498600 -0.100130 0.000140 -0.000160 0.000230
0.98 20 0.0 1.284910 0.536790 -0.100010 0.000000 -0.000150 0.000190
0.98 21 0.0 1.325270 0.576980 -0.099940 0.000060 -0.000120 0.000290
0.98 22 0.0 1.364640 0.615770 -0.100150 -0.000120 -0.000190 0.000290
0.98 23 0.0 1.395380 0.658910 -0.098590 0.000280 -0.000040 0.000160
0.98 24 0.0 1.428220 0.699050 -0.097110 0.000330 -0.000140 0.000170
0.98 25 0.0 1.461800 0.743990 -0.096960 0.000020 0.000120 0.000370
0.98 26 0.0 1.492930 0.789670 -0.097550 0.000340 -0.000040 0.000590
0.98 27 0.0 1.507530 0.828890 -0.107570 0.016990 -0.005180 0.002800
0.98 28 0.0 1.496450 0.861060 -0.115730 -0.001520 -0.000200 0.000510
0.98 29 0.0 1.498610 0.895910 -0.108740 -0.001520 -0.000080 0.000430
0.98 30 0.0 1.509370 0.935010 -0.107000 -0.000970 0.000040 0.000120
1.05 -5 0.0 -0.270160 0.101210 0.009330 0.000070 -0.000160 0.000010
1.05 -3 0.0 -0.136250 0.088320 -0.002750 0.000230 -0.000080 0.000010
1.05 -2 0.0 -0.071300 0.084710 -0.008760 0.000140 -0.000110 0.000020
1.05 0 0.0 0.055490 0.083530 -0.020310 0.000230 -0.000060 0.000040
1.05 1 0.0 0.117360 0.086290 -0.025430 0.000190 -0.000110 0.000050
1.05 2 0.0 0.179760 0.091190 -0.030470 0.000090 -0.000140 0.000040
1.05 3 0.0 0.243530 0.097860 -0.035910 0.000070 -0.000110 0.000040
1.05 4 0.0 0.308760 0.106550 -0.041650 0.000140 -0.000090 0.000040
1.05 5 0.0 0.375390 0.117900 -0.047190 0.000100 -0.000110 0.000040
1.05 5 0.0 0.375470 0.117900 -0.047240 0.000230 -0.000080 0.000060
1.05 6 0.0 0.439920 0.131400 -0.052260 0.000050 -0.000100 0.000050
1.05 8 0.0 0.567900 0.164880 -0.061310 0.000080 -0.000080 0.000060
1.05 10 0.0 0.695000 0.206600 -0.070320 0.000080 -0.000050 0.000060
1.05 11 0.0 0.758480 0.230730 -0.074840 0.000080 -0.000080 0.000060
1.05 12 0.0 0.820250 0.256780 -0.079190 -0.000070 -0.000110 0.000080
1.05 13 0.0 0.880740 0.284910 -0.083030 -0.000100 -0.000090 0.000090
1.05 14 0.0 0.938110 0.314610 -0.086430 0.000100 -0.000060 0.000080
1.05 15 0.0 0.994310 0.346210 -0.089100 0.000160 -0.000020 0.000070
1.05 16 0.0 1.046620 0.378940 -0.091530 0.000260 -0.000010 0.000070
1.05 17 0.0 1.097170 0.413340 -0.093570 0.000140 -0.000050 0.000090
1.05 18 0.0 1.145050 0.449070 -0.094800 0.000070 -0.000100 0.000130
1.05 19 0.0 1.189760 0.485850 -0.095990 0.000100 -0.000070 0.000090
1.05 20 0.0 1.231150 0.523330 -0.096620 -0.000210 -0.000160 0.000070
1.05 21 0.0 1.269750 0.561890 -0.097070 0.000130 -0.000050 0.000120
1.05 22 0.0 1.307050 0.601690 -0.096450 0.000450 -0.000060 0.000150
1.05 23 0.0 1.341050 0.642400 -0.096670 0.000110 -0.000040 0.000140
1.05 24 0.0 1.375090 0.685140 -0.095600 0.000400 0.000040 0.000070
1.05 25 0.0 1.406600 0.728760 -0.095330 0.000370 -0.000010 0.000110
1.05 26 0.0 1.438670 0.774390 -0.095330 -0.000290 -0.000270 0.000230
1.05 27 0.0 1.470720 0.821910 -0.095020 0.000220 -0.000060 0.000190
1.05 28 0.0 1.499940 0.869890 -0.094040 0.000160 -0.000010 -0.000080
1.05 29 0.0 1.528140 0.919170 -0.092770 0.000260 -0.000100 -0.000140
1.05 30 0.0 1.553510 0.967480 -0.090660 -0.000540 -0.000150 0.000090
1.10 -5 0.0 -0.262970 0.097560 0.008970 0.000240 -0.000030 0.000000
1.10 -3 0.0 -0.132910 0.086570 -0.003240 0.000080 -0.000120 0.000030
1.10 -2 0.0 -0.070560 0.083120 -0.009110 0.000050 -0.000140 0.000040
1.10 0 0.0 0.050190 0.082060 -0.018910 0.000170 -0.000050 0.000040
1.10 1 0.0 0.109990 0.084200 -0.023380 0.000170 -0.000050 0.000030
1.10 2 0.0 0.171250 0.088720 -0.028390 0.000110 -0.000080 0.000050
1.10 3 0.0 0.232770 0.095130 -0.033520 -0.000020 -0.000090 0.000030
1.10 4 0.0 0.294920 0.103700 -0.038490 0.000070 -0.000030 0.000030
1.10 5 0.0 0.357120 0.114330 -0.043260 0.000030 -0.000070 0.000040
1.10 5 0.0 0.357080 0.114290 -0.043200 -0.000030 -0.000120 0.000060
1.10 6 0.0 0.419860 0.126960 -0.047860 0.000170 -0.000030 0.000040
1.10 8 0.0 0.545940 0.158840 -0.056860 0.000080 -0.000040 0.000060
1.10 9 0.0 0.608770 0.178120 -0.061120 0.000070 -0.000030 0.000060
1.10 10 0.0 0.670630 0.199190 -0.065570 0.000040 -0.000040 0.000050
1.10 11 0.0 0.732370 0.222420 -0.069770 -0.000050 -0.000080 0.000060
1.10 12 0.0 0.792390 0.247680 -0.073770 -0.000070 -0.000070 0.000060
1.10 13 0.0 0.851390 0.274720 -0.077520 0.000000 -0.000050 0.000060
1.10 14 0.0 0.909400 0.303790 -0.080830 -0.000070 -0.000060 0.000050
1.10 15 0.0 0.964800 0.334530 -0.083850 0.000070 -0.000080 0.000040
1.10 16 0.0 1.017210 0.366700 -0.086430 0.000180 -0.000030 0.000040
1.10 17 0.0 1.067370 0.400430 -0.088570 0.000080 -0.000070 0.000040
1.10 18 0.0 1.115240 0.435640 -0.089970 0.000290 0.000000 0.000010
1.10 19 0.0 1.159230 0.471450 -0.091450 0.000260 -0.000090 0.000060
1.10 20 0.0 1.200840 0.508750 -0.091880 -0.000250 -0.000120 0.000030
1.10 21 0.0 1.239490 0.547180 -0.091760 -0.000320 -0.000160 0.000160
1.10 22 0.0 1.276790 0.587140 -0.091560 -0.000530 -0.000200 0.000100
1.10 23 0.0 1.309770 0.627140 -0.091800 -0.000700 -0.000140 0.000030
1.10 24 0.0 1.344290 0.669620 -0.090780 0.000550 0.000050 -0.000070
1.10 25 0.0 1.376110 0.712450 -0.089480 -0.000800 -0.000060 0.000070
1.10 26 0.0 1.405380 0.755550 -0.088080 -0.000260 0.000000 0.000100
1.10 27 0.0 1.435180 0.800470 -0.086400 0.000190 -0.000030 -0.000010
1.10 28 0.0 1.464230 0.847590 -0.084840 -0.001000 -0.000020 0.000110
1.10 29 0.0 1.493530 0.896260 -0.082310 -0.002060 -0.000370 0.000160
1.10 30 0.0 1.519050 0.943380 -0.079790 0.001900 0.000050 -0.000130
1.20 -5 0.0 -0.251650 0.098570 0.007950 -0.000040 -0.000060 -0.000030
1.20 -2 0.0 -0.077230 0.082400 -0.007210 0.000070 -0.000060 0.000000
1.20 0 0.0 0.034590 0.083550 -0.016650 0.000050 -0.000060 0.000010
1.20 1 0.0 0.088950 0.083250 -0.020750 0.000160 0.000000 0.000010
1.20 2 0.0 0.143730 0.086700 -0.024560 0.000080 -0.000050 0.000010
1.20 5 0.0 0.313490 0.109470 -0.036410 0.000060 -0.000020 0.000030
1.20 8 0.0 0.488920 0.149390 -0.048240 -0.000040 -0.000070 0.000020
1.20 10 0.0 0.606530 0.185890 -0.055900 -0.000050 -0.000070 0.000060
1.20 12 0.0 0.722600 0.230470 -0.063180 -0.000050 -0.000020 0.000090
1.20 15 0.0 0.889870 0.311630 -0.072690 -0.000310 -0.000100 0.000040
1.20 16 0.0 0.942200 0.341860 -0.075180 -0.000250 -0.000020 0.000050
1.20 17 0.0 0.992420 0.373480 -0.077100 0.000060 0.000010 0.000040
1.20 18 0.0 1.041290 0.406670 -0.079240 0.000120 0.000030 0.000040
1.20 19 0.0 1.089100 0.442110 -0.080850 -0.000540 -0.000240 0.000090
