## rows of lgbb_as_planned.txt which were not included
## in lgbb_as.txt (helpful for predicting at the remaining
## grid locations)
##
## Applied Math & Statistics Department
## University of California, Santa Cruz
## 1156 High St.
## Santa Cruz, CA 95064
##
## POC: Robert B. Gramacy (rbgramacy@ams.ucsc.edu))
## Herbert K.H. Lee (herbie@ams.ucsc.edu)
## 
## index = row number from lgbb_planned.txt
## mach = Mach Number
## alpha = Angle of attack
## beta = Side-slip angle
##
index mach alpha beta
426 3.9 -2 0
427 3.95 -2 0
428 4 -2 0
429 4.05 -2 0
430 4.1 -2 0
431 4.15 -2 0
432 4.2 -2 0
433 4.25 -2 0
434 4.3 -2 0
435 4.35 -2 0
436 4.4 -2 0
437 4.45 -2 0
438 4.5 -2 0
439 4.55 -2 0
440 4.6 -2 0
441 4.65 -2 0
442 4.7 -2 0
443 4.75 -2 0
444 4.8 -2 0
445 4.85 -2 0
446 4.9 -2 0
447 4.95 -2 0
448 5 -2 0
449 5.05 -2 0
450 5.1 -2 0
451 5.15 -2 0
452 5.2 -2 0
453 5.25 -2 0
454 5.3 -2 0
455 5.35 -2 0
456 5.4 -2 0
457 5.45 -2 0
458 5.5 -2 0
459 5.55 -2 0
460 5.6 -2 0
461 5.65 -2 0
462 5.7 -2 0
463 5.75 -2 0
464 5.8 -2 0
465 5.85 -2 0
466 5.9 -2 0
467 5.95 -2 0
468 6 -2 0
469 0.2 -1 0
470 0.25 -1 0
471 0.3 -1 0
472 0.35 -1 0
473 0.4 -1 0
474 0.45 -1 0
475 0.5 -1 0
476 0.55 -1 0
477 0.6 -1 0
478 0.65 -1 0
479 0.7 -1 0
480 0.75 -1 0
481 0.8 -1 0
482 0.85 -1 0
483 0.9 -1 0
484 0.95 -1 0
485 1 -1 0
486 1.05 -1 0
487 1.1 -1 0
488 1.15 -1 0
489 1.2 -1 0
490 1.25 -1 0
491 1.3 -1 0
492 1.35 -1 0
493 1.4 -1 0
494 1.45 -1 0
495 1.5 -1 0
496 1.55 -1 0
497 1.6 -1 0
498 1.65 -1 0
499 1.7 -1 0
500 1.75 -1 0
501 1.8 -1 0
502 1.85 -1 0
503 1.9 -1 0
504 1.95 -1 0
505 2 -1 0
506 2.05 -1 0
507 2.1 -1 0
508 2.15 -1 0
509 2.2 -1 0
510 2.25 -1 0
511 2.3 -1 0
512 2.35 -1 0
513 2.4 -1 0
514 2.45 -1 0
515 2.5 -1 0
516 2.55 -1 0
517 2.6 -1 0
518 2.65 -1 0
519 2.7 -1 0
520 2.75 -1 0
521 2.8 -1 0
522 2.85 -1 0
523 2.9 -1 0
524 2.95 -1 0
525 3 -1 0
526 3.05 -1 0
527 3.1 -1 0
528 3.15 -1 0
529 3.2 -1 0
530 3.25 -1 0
531 3.3 -1 0
532 3.35 -1 0
533 3.4 -1 0
534 3.45 -1 0
535 3.5 -1 0
536 3.55 -1 0
537 3.6 -1 0
538 3.65 -1 0
539 3.7 -1 0
540 3.75 -1 0
541 3.8 -1 0
542 3.85 -1 0
543 3.9 -1 0
544 3.95 -1 0
545 4 -1 0
546 4.05 -1 0
547 4.1 -1 0
548 4.15 -1 0
549 4.2 -1 0
550 4.25 -1 0
551 4.3 -1 0
552 4.35 -1 0
553 4.4 -1 0
554 4.45 -1 0
555 4.5 -1 0
556 4.55 -1 0
557 4.6 -1 0
558 4.65 -1 0
559 4.7 -1 0
560 4.75 -1 0
561 4.8 -1 0
562 4.85 -1 0
563 4.9 -1 0
564 4.95 -1 0
565 5 -1 0
566 5.05 -1 0
567 5.1 -1 0
568 5.15 -1 0
569 5.2 -1 0
570 5.25 -1 0
571 5.3 -1 0
572 5.35 -1 0
573 5.4 -1 0
574 5.45 -1 0
575 5.5 -1 0
576 5.55 -1 0
577 5.6 -1 0
578 5.65 -1 0
579 5.7 -1 0
581 5.8 -1 0
582 5.85 -1 0
583 5.9 -1 0
584 5.95 -1 0
585 6 -1 0
586 0.2 0 0
587 0.25 0 0
588 0.3 0 0
589 0.35 0 0
590 0.4 0 0
591 0.45 0 0
592 0.5 0 0
593 0.55 0 0
594 0.6 0 0
595 0.65 0 0
596 0.7 0 0
597 0.75 0 0
598 0.8 0 0
599 0.85 0 0
601 0.95 0 0
602 1 0 0
603 1.05 0 0
604 1.1 0 0
605 1.15 0 0
606 1.2 0 0
607 1.25 0 0
608 1.3 0 0
609 1.35 0 0
610 1.4 0 0
611 1.45 0 0
612 1.5 0 0
613 1.55 0 0
614 1.6 0 0
615 1.65 0 0
616 1.7 0 0
617 1.75 0 0
618 1.8 0 0
619 1.85 0 0
620 1.9 0 0
621 1.95 0 0
622 2 0 0
623 2.05 0 0
624 2.1 0 0
625 2.15 0 0
626 2.2 0 0
627 2.25 0 0
628 2.3 0 0
629 2.35 0 0
630 2.4 0 0
631 2.45 0 0
632 2.5 0 0
633 2.55 0 0
634 2.6 0 0
635 2.65 0 0
636 2.7 0 0
637 2.75 0 0
638 2.8 0 0
639 2.85 0 0
640 2.9 0 0
641 2.95 0 0
642 3 0 0
643 3.05 0 0
644 3.1 0 0
645 3.15 0 0
646 3.2 0 0
647 3.25 0 0
648 3.3 0 0
649 3.35 0 0
650 3.4 0 0
651 3.45 0 0
652 3.5 0 0
653 3.55 0 0
654 3.6 0 0
655 3.65 0 0
656 3.7 0 0
657 3.75 0 0
658 3.8 0 0
659 3.85 0 0
660 3.9 0 0
661 3.95 0 0
662 4 0 0
663 4.05 0 0
664 4.1 0 0
665 4.15 0 0
666 4.2 0 0
667 4.25 0 0
668 4.3 0 0
669 4.35 0 0
670 4.4 0 0
671 4.45 0 0
672 4.5 0 0
673 4.55 0 0
674 4.6 0 0
675 4.65 0 0
676 4.7 0 0
677 4.75 0 0
678 4.8 0 0
679 4.85 0 0
680 4.9 0 0
681 4.95 0 0
682 5 0 0
683 5.05 0 0
684 5.1 0 0
685 5.15 0 0
686 5.2 0 0
687 5.25 0 0
688 5.3 0 0
689 5.35 0 0
690 5.4 0 0
691 5.45 0 0
692 5.5 0 0
693 5.55 0 0
694 5.6 0 0
695 5.65 0 0
696 5.7 0 0
697 5.75 0 0
698 5.8 0 0
699 5.85 0 0
700 5.9 0 0
701 5.95 0 0
702 6 0 0
703 0.2 1 0
704 0.25 1 0
705 0.3 1 0
706 0.35 1 0
707 0.4 1 0
708 0.45 1 0
709 0.5 1 0
710 0.55 1 0
711 0.6 1 0
712 0.65 1 0
713 0.7 1 0
714 0.75 1 0
715 0.8 1 0
716 0.85 1 0
717 0.9 1 0
718 0.95 1 0
719 1 1 0
720 1.05 1 0
721 1.1 1 0
722 1.15 1 0
723 1.2 1 0
724 1.25 1 0
725 1.3 1 0
726 1.35 1 0
727 1.4 1 0
728 1.45 1 0
729 1.5 1 0
730 1.55 1 0
731 1.6 1 0
732 1.65 1 0
733 1.7 1 0
734 1.75 1 0
735 1.8 1 0
736 1.85 1 0
737 1.9 1 0
738 1.95 1 0
739 2 1 0
740 2.05 1 0
742 2.15 1 0
743 2.2 1 0
744 2.25 1 0
745 2.3 1 0
746 2.35 1 0
747 2.4 1 0
748 2.45 1 0
749 2.5 1 0
750 2.55 1 0
751 2.6 1 0
752 2.65 1 0
753 2.7 1 0
754 2.75 1 0
755 2.8 1 0
756 2.85 1 0
757 2.9 1 0
758 2.95 1 0
759 3 1 0
760 3.05 1 0
761 3.1 1 0
762 3.15 1 0
763 3.2 1 0
764 3.25 1 0
765 3.3 1 0
766 3.35 1 0
767 3.4 1 0
768 3.45 1 0
769 3.5 1 0
770 3.55 1 0
771 3.6 1 0
772 3.65 1 0
773 3.7 1 0
774 3.75 1 0
775 3.8 1 0
776 3.85 1 0
777 3.9 1 0
778 3.95 1 0
779 4 1 0
780 4.05 1 0
781 4.1 1 0
782 4.15 1 0
783 4.2 1 0
784 4.25 1 0
785 4.3 1 0
786 4.35 1 0
787 4.4 1 0
788 4.45 1 0
789 4.5 1 0
790 4.55 1 0
791 4.6 1 0
792 4.65 1 0
793 4.7 1 0
794 4.75 1 0
795 4.8 1 0
796 4.85 1 0
797 4.9 1 0
798 4.95 1 0
799 5 1 0
800 5.05 1 0
801 5.1 1 0
802 5.15 1 0
803 5.2 1 0
804 5.25 1 0
805 5.3 1 0
806 5.35 1 0
807 5.4 1 0
808 5.45 1 0
809 5.5 1 0
810 5.55 1 0
811 5.6 1 0
812 5.65 1 0
813 5.7 1 0
814 5.75 1 0
815 5.8 1 0
816 5.85 1 0
817 5.9 1 0
818 5.95 1 0
819 6 1 0
820 0.2 2 0
821 0.25 2 0
822 0.3 2 0
823 0.35 2 0
824 0.4 2 0
825 0.45 2 0
826 0.5 2 0
827 0.55 2 0
828 0.6 2 0
829 0.65 2 0
830 0.7 2 0
831 0.75 2 0
832 0.8 2 0
833 0.85 2 0
834 0.9 2 0
835 0.95 2 0
836 1 2 0
837 1.05 2 0
838 1.1 2 0
839 1.15 2 0
840 1.2 2 0
841 1.25 2 0
842 1.3 2 0
843 1.35 2 0
845 1.45 2 0
846 1.5 2 0
847 1.55 2 0
848 1.6 2 0
849 1.65 2 0
850 1.7 2 0
851 1.75 2 0
852 1.8 2 0
853 1.85 2 0
854 1.9 2 0
855 1.95 2 0
856 2 2 0
857 2.05 2 0
858 2.1 2 0
859 2.15 2 0
860 2.2 2 0
861 2.25 2 0
862 2.3 2 0
863 2.35 2 0
864 2.4 2 0
865 2.45 2 0
866 2.5 2 0
867 2.55 2 0
868 2.6 2 0
869 2.65 2 0
870 2.7 2 0
871 2.75 2 0
872 2.8 2 0
873 2.85 2 0
874 2.9 2 0
875 2.95 2 0
876 3 2 0
877 3.05 2 0
878 3.1 2 0
879 3.15 2 0
880 3.2 2 0
881 3.25 2 0
882 3.3 2 0
883 3.35 2 0
884 3.4 2 0
885 3.45 2 0
886 3.5 2 0
887 3.55 2 0
888 3.6 2 0
889 3.65 2 0
890 3.7 2 0
891 3.75 2 0
892 3.8 2 0
893 3.85 2 0
894 3.9 2 0
895 3.95 2 0
896 4 2 0
897 4.05 2 0
898 4.1 2 0
899 4.15 2 0
900 4.2 2 0
901 4.25 2 0
902 4.3 2 0
903 4.35 2 0
904 4.4 2 0
905 4.45 2 0
906 4.5 2 0
907 4.55 2 0
908 4.6 2 0
909 4.65 2 0
910 4.7 2 0
911 4.75 2 0
912 4.8 2 0
913 4.85 2 0
914 4.9 2 0
915 4.95 2 0
916 5 2 0
917 5.05 2 0
918 5.1 2 0
919 5.15 2 0
920 5.2 2 0
921 5.25 2 0
922 5.3 2 0
923 5.35 2 0
924 5.4 2 0
925 5.45 2 0
926 5.5 2 0
927 5.55 2 0
928 5.6 2 0
929 5.65 2 0
930 5.7 2 0
931 5.75 2 0
932 5.8 2 0
933 5.85 2 0
934 5.9 2 0
935 5.95 2 0
936 6 2 0
937 0.2 3 0
938 0.25 3 0
939 0.3 3 0
940 0.35 3 0
941 0.4 3 0
942 0.45 3 0
943 0.5 3 0
944 0.55 3 0
945 0.6 3 0
946 0.65 3 0
947 0.7 3 0
948 0.75 3 0
949 0.8 3 0
950 0.85 3 0
951 0.9 3 0
952 0.95 3 0
953 1 3 0
954 1.05 3 0
955 1.1 3 0
956 1.15 3 0
957 1.2 3 0
958 1.25 3 0
959 1.3 3 0
960 1.35 3 0
961 1.4 3 0
962 1.45 3 0
963 1.5 3 0
964 1.55 3 0
965 1.6 3 0
966 1.65 3 0
967 1.7 3 0
968 1.75 3 0
969 1.8 3 0
970 1.85 3 0
971 1.9 3 0
972 1.95 3 0
973 2 3 0
974 2.05 3 0
975 2.1 3 0
976 2.15 3 0
977 2.2 3 0
978 2.25 3 0
979 2.3 3 0
980 2.35 3 0
981 2.4 3 0
982 2.45 3 0
983 2.5 3 0
984 2.55 3 0
985 2.6 3 0
986 2.65 3 0
987 2.7 3 0
988 2.75 3 0
989 2.8 3 0
990 2.85 3 0
991 2.9 3 0
992 2.95 3 0
993 3 3 0
994 3.05 3 0
995 3.1 3 0
996 3.15 3 0
997 3.2 3 0
998 3.25 3 0
999 3.3 3 0
1000 3.35 3 0
1001 3.4 3 0
1002 3.45 3 0
1003 3.5 3 0
1004 3.55 3 0
1005 3.6 3 0
1006 3.65 3 0
1007 3.7 3 0
1008 3.75 3 0
1009 3.8 3 0
1010 3.85 3 0
1011 3.9 3 0
1012 3.95 3 0
1013 4 3 0
1014 4.05 3 0
1015 4.1 3 0
1016 4.15 3 0
1017 4.2 3 0
1018 4.25 3 0
1019 4.3 3 0
1020 4.35 3 0
1021 4.4 3 0
1022 4.45 3 0
1023 4.5 3 0
1024 4.55 3 0
1025 4.6 3 0
1026 4.65 3 0
1027 4.7 3 0
1028 4.75 3 0
1029 4.8 3 0
1030 4.85 3 0
1031 4.9 3 0
1032 4.95 3 0
1033 5 3 0
1034 5.05 3 0
1035 5.1 3 0
1036 5.15 3 0
1037 5.2 3 0
1038 5.25 3 0
1039 5.3 3 0
1040 5.35 3 0
1041 5.4 3 0
1042 5.45 3 0
1043 5.5 3 0
1044 5.55 3 0
1045 5.6 3 0
1046 5.65 3 0
1047 5.7 3 0
1048 5.75 3 0
1049 5.8 3 0
1050 5.85 3 0
1051 5.9 3 0
1052 5.95 3 0
1053 6 3 0
1054 0.2 4 0
1055 0.25 4 0
1056 0.3 4 0
1057 0.35 4 0
1058 0.4 4 0
1059 0.45 4 0
1060 0.5 4 0
1061 0.55 4 0
1062 0.6 4 0
1063 0.65 4 0
1064 0.7 4 0
1066 0.8 4 0
1068 0.9 4 0
1069 0.95 4 0
1070 1 4 0
1071 1.05 4 0
1072 1.1 4 0
1073 1.15 4 0
1074 1.2 4 0
1075 1.25 4 0
1076 1.3 4 0
1077 1.35 4 0
1078 1.4 4 0
1079 1.45 4 0
1080 1.5 4 0
1081 1.55 4 0
1082 1.6 4 0
1083 1.65 4 0
1084 1.7 4 0
1085 1.75 4 0
1086 1.8 4 0
1087 1.85 4 0
1088 1.9 4 0
1089 1.95 4 0
1090 2 4 0
1091 2.05 4 0
1092 2.1 4 0
1093 2.15 4 0
1094 2.2 4 0
1095 2.25 4 0
1096 2.3 4 0
1097 2.35 4 0
1098 2.4 4 0
1099 2.45 4 0
1100 2.5 4 0
1101 2.55 4 0
1102 2.6 4 0
1103 2.65 4 0
1104 2.7 4 0
1105 2.75 4 0
1106 2.8 4 0
1107 2.85 4 0
1108 2.9 4 0
1109 2.95 4 0
1110 3 4 0
1111 3.05 4 0
1112 3.1 4 0
1113 3.15 4 0
1114 3.2 4 0
1115 3.25 4 0
1116 3.3 4 0
1117 3.35 4 0
1118 3.4 4 0
1119 3.45 4 0
1120 3.5 4 0
1121 3.55 4 0
1122 3.6 4 0
1123 3.65 4 0
1124 3.7 4 0
1125 3.75 4 0
1126 3.8 4 0
1127 3.85 4 0
1128 3.9 4 0
1129 3.95 4 0
1130 4 4 0
1131 4.05 4 0
1132 4.1 4 0
1133 4.15 4 0
1134 4.2 4 0
1135 4.25 4 0
1136 4.3 4 0
1137 4.35 4 0
1138 4.4 4 0
1139 4.45 4 0
1140 4.5 4 0
1141 4.55 4 0
1142 4.6 4 0
1143 4.65 4 0
1144 4.7 4 0
1145 4.75 4 0
1146 4.8 4 0
1147 4.85 4 0
1148 4.9 4 0
1149 4.95 4 0
1150 5 4 0
1151 5.05 4 0
1152 5.1 4 0
1153 5.15 4 0
1154 5.2 4 0
1155 5.25 4 0
1156 5.3 4 0
1157 5.35 4 0
1158 5.4 4 0
1159 5.45 4 0
1160 5.5 4 0
1161 5.55 4 0
1162 5.6 4 0
1163 5.65 4 0
1164 5.7 4 0
1165 5.75 4 0
1166 5.8 4 0
1167 5.85 4 0
1168 5.9 4 0
1169 5.95 4 0
1170 6 4 0
1171 0.2 5 0
1172 0.25 5 0
1173 0.3 5 0
1174 0.35 5 0
1175 0.4 5 0
1176 0.45 5 0
1177 0.5 5 0
1178 0.55 5 0
1179 0.6 5 0
1180 0.65 5 0
1181 0.7 5 0
1182 0.75 5 0
1183 0.8 5 0
1184 0.85 5 0
1185 0.9 5 0
1186 0.95 5 0
1187 1 5 0
1188 1.05 5 0
1189 1.1 5 0
1190 1.15 5 0
1191 1.2 5 0
1192 1.25 5 0
1193 1.3 5 0
1194 1.35 5 0
1195 1.4 5 0
1196 1.45 5 0
1197 1.5 5 0
1198 1.55 5 0
1199 1.6 5 0
1200 1.65 5 0
1201 1.7 5 0
1202 1.75 5 0
1203 1.8 5 0
1204 1.85 5 0
1205 1.9 5 0
1206 1.95 5 0
1207 2 5 0
1208 2.05 5 0
1209 2.1 5 0
1210 2.15 5 0
1211 2.2 5 0
1212 2.25 5 0
1213 2.3 5 0
1214 2.35 5 0
1215 2.4 5 0
1216 2.45 5 0
1217 2.5 5 0
1218 2.55 5 0
1219 2.6 5 0
1220 2.65 5 0
1221 2.7 5 0
1222 2.75 5 0
1223 2.8 5 0
1224 2.85 5 0
1225 2.9 5 0
1226 2.95 5 0
1227 3 5 0
1228 3.05 5 0
1229 3.1 5 0
1230 3.15 5 0
1231 3.2 5 0
1232 3.25 5 0
1233 3.3 5 0
1234 3.35 5 0
1235 3.4 5 0
1236 3.45 5 0
1237 3.5 5 0
1238 3.55 5 0
1239 3.6 5 0
1240 3.65 5 0
1241 3.7 5 0
1242 3.75 5 0
1243 3.8 5 0
1244 3.85 5 0
1245 3.9 5 0
1246 3.95 5 0
1247 4 5 0
1248 4.05 5 0
1249 4.1 5 0
1250 4.15 5 0
1251 4.2 5 0
1252 4.25 5 0
1253 4.3 5 0
1254 4.35 5 0
1255 4.4 5 0
1256 4.45 5 0
1257 4.5 5 0
1258 4.55 5 0
1259 4.6 5 0
1260 4.65 5 0
1261 4.7 5 0
1262 4.75 5 0
1263 4.8 5 0
1264 4.85 5 0
1265 4.9 5 0
1266 4.95 5 0
1267 5 5 0
1268 5.05 5 0
1269 5.1 5 0
1270 5.15 5 0
1271 5.2 5 0
1272 5.25 5 0
1273 5.3 5 0
1274 5.35 5 0
1275 5.4 5 0
1276 5.45 5 0
1277 5.5 5 0
1278 5.55 5 0
1279 5.6 5 0
1280 5.65 5 0
1281 5.7 5 0
1282 5.75 5 0
1283 5.8 5 0
1284 5.85 5 0
1285 5.9 5 0
1286 5.95 5 0
1288 0.2 6 0
1289 0.25 6 0
1290 0.3 6 0
1292 0.4 6 0
1293 0.45 6 0
1294 0.5 6 0
1295 0.55 6 0
